count	reward_sum	squared_reward_sum	length
72	-109.30285630204737	10002.160394203145	98
73	-111.07417041368697	10002.436543877428	114
74	-99.98832126205238	10001.020185988184	109
75	-108.71876921024555	10002.315876854213	97
76	-109.00151925815408	10001.603679974476	83
77	-110.9164478401297	10002.329105226623	78
78	-105.86400162278392	10001.726719453673	112
79	-106.70007843414076	10000.927984291184	73
80	-104.28965327238852	10000.988593391217	84
81	-117.9550921885021	10006.035787606226	83
82	-109.27623809787272	10001.79862809974	67
83	-109.47565868740666	10001.82030499787	70
84	-108.27290808416778	10001.129633903287	80
85	-110.58137515736462	10002.282248473266	72
86	-108.71361154070149	10001.029633387203	111
87	-189.38749924810352	10010.728482266877	1540
88	-99.26584659449864	10001.588622462506	107
89	-93.8829768745131	7.337398197143821	2000
90	-104.65593382559176	10001.104309456521	67
91	-104.80417927354299	10001.095116048806	68
92	-73.97462366198032	4.434080513440632	2000
93	-102.36884606613987	7.46534098990056	2000
94	-126.69562594149642	10007.615285433578	123
95	-130.55920596108925	10005.615092026635	539
96	-104.11933328007126	10001.531085676046	79
97	-113.66688639904926	10003.007534074695	205
98	-128.04739653255052	10008.276487684845	164
99	-103.56762293612661	10002.429107554128	88
100	-107.84304866379912	10001.876199194772	47
101	-105.10568587774839	10002.003871877168	94
102	-102.80752500357698	10001.516497962424	86
103	-102.7875404135031	10001.31324877362	87
104	-105.56397028869577	10001.65233657272	96
105	-103.05973278717362	10001.819011876567	83
106	-104.16680583788245	10002.704970466813	125
107	-103.59801886933407	10002.331303881203	130
108	-102.41771899625017	10001.751286262657	117
109	-99.89804295740674	10002.09926834145	63
110	-104.12686901210336	10002.190053649132	65
111	-100.76033267071817	10002.231819565868	95
112	-97.57733170950628	10002.99086313741	83
113	-115.10432078034086	10003.978294862463	202
114	-95.29005719460761	10002.574631948235	172
115	-98.6813674083341	10002.502042968441	86
116	-101.36385475758435	10002.530810726961	85
117	-97.03079935821452	10003.259170828285	111
118	-100.5176956523862	10002.910522109905	64
119	-96.14243427348482	10003.311846938192	120
120	-95.05448982995485	10002.623494886115	108
121	-96.36361185807853	10005.62901313055	112
122	-101.69872110494595	10002.971343648866	83
123	-96.09459328085795	10003.452105932109	129
124	-101.91384466108349	10002.109356130253	88
125	-98.0264216633733	10002.953622865472	164
126	-127.33805680161987	10008.31464675193	877
127	-83.13790677221242	10.171231385794195	2000
128	-97.6624599739017	10005.301855009608	258
129	-94.4577113008441	10005.615154078721	126
130	-101.82175176150821	10003.003629840186	78
131	-99.71205863871174	10004.713430867603	208
132	-98.32459406362808	10003.1998937319	105
133	-102.80342048397698	10007.403049740791	225
134	-100.28297764500088	10003.051729807103	75
135	-96.28715544931649	10003.744894770738	111
136	-98.73797969800945	10002.751067645795	97
137	-100.73529455096934	10002.765779716141	73
138	-101.0966147356376	10003.151807173756	67
139	-98.8828727554282	10003.312234653502	83
140	-98.61914190612553	10003.105652483291	85
141	-100.62260813293906	10002.796459606978	83
142	-99.67413315767682	10002.384510275046	92
143	-97.70781523354626	10003.944187168858	165
144	-100.6886780197326	10002.634368040308	123
145	-99.63345647562066	10002.66359894396	99
146	-98.13211649069444	10002.89106038479	92
147	-98.78621261010537	10003.298376124338	111
148	-98.68187160552009	10002.755297988671	102
149	-103.69255761432912	10005.658113684016	435
150	-100.30821717958781	10002.425035346529	90
151	-94.52420224641087	10003.867297807352	181
152	-99.67543253916858	10002.265559735015	84
153	-97.40404103890644	10003.244002283212	107
154	-98.45188082444977	10004.02780068547	201
155	-94.73140345229046	10003.538919145776	149
156	-99.91125920863796	10002.815672795494	141
157	-100.25480444272188	10001.827723287299	90
158	-100.76089583844109	10002.177688984491	93
159	-99.66164520367796	10002.05174029256	127
160	-98.50443146556472	10003.472914550548	189
161	-99.31986576188177	10002.222224747069	119
162	-100.68861351907783	10002.32035581509	86
163	-100.12434707656689	10001.939202206015	86
164	-100.57972255233081	10002.161939153433	108
165	-100.09323571518868	10002.414914279541	104
166	-99.40233430448608	10002.11892442096	102
167	-100.06356084809491	10001.980643791392	80
168	-100.99490224620014	10002.225460865211	96
169	-99.88850723820396	10002.017983610453	92
170	-99.26957525223251	10001.98655512336	86
171	-100.05267157851544	10001.96968950695	85
172	-100.17836333952634	10001.956987195075	90
173	-100.67614276642477	10002.0382824625	74
174	-99.2387773963172	10002.195945349966	106
175	-117.48027421593413	10005.329064819389	382
176	-100.72234665475838	10002.005438544229	88
177	-100.49387743852961	10001.923168517382	77
178	-99.12372342959017	10002.242129695418	80
