count	reward_sum	squared_reward_sum	length
215	16.572247664848618	10030.02333086755	551
216	23.801725955705265	10033.924357957398	535
217	9.702235067030642	10026.897073470667	565
218	225.33008379855534	59.579772759916	982
219	12.056951979744952	10029.275503559236	530
220	106.96977183628314	10054.165557284226	933
221	85.14147712913399	10048.360552567312	833
222	-6.071630094849624	10024.011568138925	462
223	-3.3089564863410743	10028.033910439332	431
224	225.9501388275502	60.77063467642193	975
225	64.49839191317466	10043.051582177532	764
226	227.06500711554403	62.97682488026025	937
227	91.56709313057993	10054.626030049907	782
228	88.69991230801074	10053.721680784267	773
229	227.3031354104104	62.77185090094259	967
230	-29.430248976942693	10019.50158617665	326
231	224.87407783865973	62.30358496808363	960
232	74.35338575680618	10052.172102578452	679
233	225.73551782182432	61.99617299891289	976
234	226.60332521293978	63.41783761151266	957
235	228.9558666023414	65.38808792335244	924
236	227.74061211582313	62.28017973756643	966
237	227.66761865860403	63.44519399928167	936
238	228.38427935862165	65.2558231001766	917
239	228.87279821652268	69.44108139779621	867
240	228.79146338690617	67.19492450008886	895
241	228.8558904550389	66.34914077205296	913
242	228.89136573119626	66.27975915340136	893
243	64.8168844712319	10046.738001426875	688
244	229.9729733308804	70.1990093353367	859
245	229.75603619533993	72.32785737417547	830
246	230.08427369510952	65.29741024966862	917
247	230.5581740894778	67.53435857727135	884
248	229.81172935310371	68.6711943277229	868
249	228.7556910750938	66.39968720497899	893
250	229.388318347358	67.83934470693792	882
251	229.619177602467	68.99980698980514	869
252	228.96329891164706	69.07527375957568	860
253	229.02002396164886	68.97744215458442	861
254	228.88147517372565	70.92707130302968	828
255	226.4922512734399	68.80215637506657	844
256	-22.086446220674006	10023.165932197571	324
257	229.76419152820674	72.47462529119602	814
258	43.635550585590664	10046.172921913201	522
259	230.44021755868374	71.61488960289391	838
260	230.28628908934778	72.60588857399871	830
261	231.46315190828034	71.96863616567161	830
262	230.12448966370752	71.12099936524754	835
263	230.26992754702334	72.92692861045074	815
264	75.2827249523489	10054.69486276315	642
265	15.070442547037885	10035.97854593828	436
266	230.60032211832518	73.37395989830631	808
267	231.03137599299646	72.79525529537662	818
268	229.81931337920054	73.2687662682632	807
269	225.95356989345643	69.90283930179947	825
270	229.85458895684218	75.00725777169892	787
271	230.74810740799683	75.84295792598392	773
272	230.68652923599726	76.35292067894724	769
273	57.07052409662825	10049.535985337185	567
274	230.6938510202666	73.89531382160627	796
275	229.9727785484652	77.94956660907087	755
276	230.95283795489516	75.54481759202059	779
277	229.87730512551235	77.03014971000611	761
278	-1.0419308830997949	10031.408834398677	371
279	231.20246186078865	75.19472250201834	787
280	232.03949975935663	77.50773508559152	764
281	231.08233650061044	77.60719234588271	768
282	231.37820870776076	82.73519603012339	717
283	232.05609199088863	78.73033516206667	754
284	230.38439161242383	76.75020093953131	759
285	231.34115985112493	79.29281602474703	745
286	231.00276814198006	78.39637675777777	754
287	231.1361901152942	79.86887037076417	743
288	230.596926489531	78.09530745569025	755
289	229.68449411815294	79.33723693782879	736
290	231.29384111510493	78.91443546870553	747
291	230.95884925140436	78.81051716468562	754
292	230.31161818613558	79.11749255332393	742
293	25.466662340645584	10040.4740660662	462
294	6.125918929352935	10035.576437615411	387
295	229.92211144362702	80.46814304538371	734
296	231.44933131443773	81.25595259575037	727
297	89.16698012658941	10063.539172257511	638
298	229.65201107299936	80.51054284858411	726
299	-30.347672320097118	10022.809936312717	268
300	31.116604233672064	10041.65827811286	480
301	76.95094294223122	10060.205788903992	594
302	228.66928479841167	78.91096328424129	742
303	229.03063272114838	80.70233738012188	725
304	230.1296539068354	80.08854410760297	734
305	230.36897754387113	81.61339883680638	721
306	229.06825372775705	79.21880197432958	737
307	-9.588023639690292	10030.194722213793	337
308	229.06337710847274	80.5254996775402	725
309	229.58190993405464	78.08546420930962	755
310	230.42492139148047	82.80594517681271	709
311	228.61954510827	80.75233060864413	724
312	-32.16048968359138	10021.885383505296	279
313	229.42164406034416	81.85118565401929	713
314	229.70150871351407	77.26271582067308	758
315	231.56344133828568	83.20592189506506	716
316	31.097830870454004	10045.402204491164	444
317	229.30048868567494	83.34623128491776	703
318	230.27720664647748	80.42375627415963	736
319	229.18741487154568	81.72731989068798	715
320	24.38261950931691	10042.789393166708	432
321	229.69661946142352	81.2843529701962	724
322	228.79256156073222	81.21000521867887	723
323	-28.09540190730152	10023.23074018213	277
324	229.73343855524593	77.67125956561257	756
325	230.01290572600695	80.03378163858429	735
326	231.48213879325385	81.38039012773277	726
327	231.87298875632186	78.5514134089394	753
328	230.5023194543604	77.96477705575984	752
329	230.75310070321717	80.05412954642493	737
330	229.9341712364254	78.10929376735811	742
331	231.29302673357313	80.25545062813664	735
332	230.30469740095373	81.81038739453419	734
333	229.90051947434446	83.51121229118154	723
334	229.02733318116407	82.9046657959314	724
335	229.46290847205609	83.67456376043	710
336	86.90873624446348	10066.669284351332	609
337	230.28203168606947	81.21271545746959	733
338	231.14435071584302	82.50971000172866	725
339	230.01665676345547	82.31614454390144	722
340	228.77751646407617	79.54712392404092	735
341	82.71010054930508	10063.932972629584	607
342	230.74420245860873	80.50484820860885	736
343	229.9142199920449	81.24361021983437	723
344	-48.63945276750933	10015.202015796525	241
345	4.1590721238118675	10035.08565223012	379
346	35.36045339538475	10046.57211551352	459
